NAME;GK;CWP;CBT;SB;DMF;WB;CMF;SMF;AMF;WF;SS;CF;REGISTERED POSITION;HEIGHT;FAVOURED FOOT;FAVOURED SIDE;WEAK FOOT ACCURACY;WEAK FOOT FREQUENCY;ATTACK;DEFENSE;BALANCE;STAMINA;TOP SPEED;ACCELERATION;RESPONSE;AGILITY;DRIBBLE ACCURACY;DRIBBLE SPEED;SHORT PASS ACCURACY;SHORT PASS SPEED;LONG PASS ACCURACY;LONG PASS SPEED;SHOT ACCURACY;SHOT POWER;SHOT TECHNIQUE;FREE KICK ACCURACY;CURLING;HEADING;JUMP;TECHNIQUE;AGGRESSION;MENTALITY;GOAL KEEPING;TEAM WORK;CONSISTENCY;CONDITION / FITNESS;DRIBBLING;TACTIAL DRIBBLE;POSITIONING;REACTION;PLAYMAKING;PASSING;SCORING;1-1 SCORING;POST PLAYER;LINES;MIDDLE SHOOTING;SIDE;CENTRE;PENALTIES;1-TOUCH PASS;OUTSIDE;MARKING;SLIDING;COVERING;D-LINE CONTROL;PENALTY STOPPER;1-ON-1 STOPPER;LONG THROW;INJURY TOLERANCE;DRIBBLE STYLE;FREE KICK STYLE;PK STYLE;DROP KICK STYLE;AGE;WEIGHT;NATIONALITY;CLUB TEAM
Andreas Weimann;0;0;0;0;0;0;0;0;1;1;0;0;10;179;R;B;6;4;77;49;63;83;74;78;81;80;78;77;74;74;72;72;70;66;74;62;61;69;73;75;78;70;50;66;6;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A;1;1;1;1;31;76;Austria;
Grillitsch;0;0;1;0;1;0;1;0;0;0;0;0;5;187;R;B;3;3;70;70;74;83;67;67;79;77;77;69;79;77;82;76;67;82;72;74;77;70;72;86;74;75;50;84;5;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;B;1;1;1;1;27;74;Austria;Real Valladolid FC
Baumgartner;0;0;0;0;0;0;1;0;1;0;0;1;9;180;R;B;5;5;82;60;74;79;75;86;82;85;83;79;82;80;76;74;79;79;77;63;71;77;78;83;82;76;50;79;5;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;24;77;Austria;RB Leipzig
Arnautovic;0;0;0;0;0;0;0;0;0;0;0;1;12;192;R;B;6;6;81;59;85;78;72;72;79;73;85;76;85;83;81;82;83;83;83;78;81;83;88;87;79;80;50;83;5;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;35;83;Austria;Inter Milan
Wober;0;0;1;1;0;1;0;0;0;0;0;0;3;189;L;L;5;5;63;79;80;76;71;66;72;66;66;68;71;69;72;66;58;74;62;59;63;70;81;77;64;66;50;78;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;C;1;1;1;1;24;82;Austria;Leeds United
Posch;0;0;1;1;0;0;0;0;0;0;0;0;4;190;R;B;5;5;78;83;80;76;81;75;83;66;76;76;79;73;77;73;63;68;66;62;70;83;88;79;81;77;50;73;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;27;82;Austria;Atalanta BC
Seiwald;0;0;1;0;1;0;1;0;0;0;0;0;5;180;R;B;5;5;76;78;76;88;76;78;82;79;78;76;79;76;80;76;67;74;71;68;77;71;78;79;81;84;50;78;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;23;80;Austria;RB Leipzig
Florian Kainz;0;0;0;0;0;0;0;1;0;1;0;0;8;175;R;B;6;7;74;43;71;80;74;75;71;81;80;73;75;73;83;78;71;83;74;74;77;67;73;85;79;70;50;73;5;4;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;C;1;1;1;1;30;66;Austria;1. FC Koln
Gregoritsch;0;0;0;0;0;0;0;0;0;0;0;1;12;193;L;B;5;5;84;58;87;77;60;60;83;63;78;66;79;82;71;78;82;86;80;78;83;87;86;81;83;72;50;76;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;30;91;Austria;SC Freiburg
Romano Schmid;0;0;0;0;0;0;1;0;1;0;0;0;9;168;R;B;5;5;81;68;77;82;79;81;82;85;85;83;82;81;76;78;68;79;74;72;78;61;66;84;82;70;50;73;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;24;73;Austria;SV Werder Bremen
Phillipp Mwene;0;0;0;1;0;1;0;0;0;0;0;0;4;172;R;B;5;5;74;68;62;83;81;84;72;81;73;77;68;72;70;70;64;64;68;63;69;59;72;73;73;78;50;77;7;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A;1;1;1;1;29;68;Austria;
Alaba;0;0;1;1;0;0;0;0;0;0;0;0;3;180;L;B;6;6;77;90;81;78;80;80;88;80;84;80;90;87;85;85;71;85;79;88;79;82;88;86;82;80;50;85;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;B;1;1;1;1;32;78;Austria;Real Madrid
Lienhart;0;0;1;1;0;0;0;0;0;0;0;0;4;182;R;B;3;4;67;77;79;77;89;77;83;74;73;80;75;70;70;71;61;67;64;61;62;67;79;74;78;77;50;66;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;31;77;Germany;SC Freiburg
